addr1,addr2,areacode,contentid,contenttypeid,firstimage,firstimage2,mapx,mapy,mlevel,tel,title,zipcode
전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38,127480,12,,,125.1125145,34.07401665,6,,가거도(소흑산도),58866
전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,126273,12,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image3_1.jpg,126.3547412,34.43545949,6,,가계해변,58911
전라남도 담양군 용면 용소길 261,,38,127423,12,http://tong.visitkorea.or.kr/cms/resource/13/824513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/824513_image3_1.jpg,127.0227047,35.44518737,7,,가마골계곡,57300
전라남도 담양군 용면 용소길 261,,38,2014192,12,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image3_1.jpg,127.0227797,35.4450485,6,,가마골생태공원,57300
전라남도 영광군 홍농읍 가마미로 355,,38,126289,12,http://tong.visitkorea.or.kr/cms/resource/54/189654_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/189654_image3_1.jpg,126.409077,35.39972939,6,,가마미해수욕장,57000
전라남도 진도군 조도면 가사도길 106,,38,578400,12,,,126.0510003,34.47893028,6,,가사도,58953
전라남도 진도군 조도면 가사도돌목길,,38,129141,12,,,126.0429126,34.4611877,6,,가사도 등대,58953
전라남도 완도군 약산면 해동리,,38,2615324,12,http://tong.visitkorea.or.kr/cms/resource/52/2825152_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/52/2825152_image3_1.JPG,126.9277953,34.36983735,6,,가사동백숲해변,59136
전라남도 완도군 약산면,,38,1916695,12,,,126.9281702,34.37048728,6,,가사해수욕장,59136
전라남도 장성군 삼서면 영장로 2015,,38,1957336,12,,,126.6931004,35.23132266,6,,가산서원,57256
전라남도 강진군 도암면 월곶로 473,(도암면),38,2024432,12,,,126.7726523,34.52837259,6,,가우도,59251
전라남도 강진군 도암면 신기리,,38,2514003,12,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image3_1.jpg,126.7717357,34.52886696,6,,가우도 출렁다리,59251
전라남도 곡성군 고달면 가정마을길 120,(고달면),38,128427,12,,,127.3712767,35.2263181,6,,가정녹색농촌체험마을,57547
전남 완도군 소안면 미라리,,38,799819,12,http://tong.visitkorea.or.kr/cms/resource/75/786375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/786375_image3_1.jpg,126.6593101,34.15221835,6,,가학산,"537-831,1"
전라남도 진도군 조도면 관매작흘도길 6,,38,580102,12,,,126.0510943,34.25776064,6,,각흘도,58958
전라남도 해남군 송지면 땅끝마을길 82,,38,129024,12,http://tong.visitkorea.or.kr/cms/resource/92/981992_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/981992_image3_1.jpg,126.5285847,34.29980529,6,,갈두마을(땅끝마을),59065
전라남도 진도군 조도면 진목도갈목길 10,,38,580288,12,,,125.9471912,34.30622579,6,,갈목도,58956
전라남도 목포시 남농로 135,일대 (용해동),38,126828,12,http://tong.visitkorea.or.kr/cms/resource/60/2515460_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2515460_image2_1.jpg,126.4209824,34.79365643,6,,갓바위 문화타운,58699
전라남도 강진군 군동면 호라길 199-39,(군동면),38,1957338,12,,,126.8026716,34.65437839,6,,강덕사,59220
전라남도 장흥군 유치면 유치로 70,,38,1957340,12,http://tong.visitkorea.or.kr/cms/resource/93/2724793_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2724793_image2_1.JPG,126.8342347,34.80152905,6,,강성서원,59301
